business_id,name,address,city,state,latitude,longtitude,stars,review_count,is_open,categories
rncjoVoEFUJGCUoC1JgnUA,Peoria Income Tax Service,"8466 W Peoria Ave
Ste 6
Peoria, AZ 85345",Peoria,AZ,33.581867,-112.241596,5.0,3,True,Accountants; Professional Services; Tax Services; Financial Services
0FNFSzCFP_rGUoJx8W7tJg,Bike Doctor,"2149 W Wood Dr
Phoenix, AZ 85029",Phoenix,AZ,33.604054,-112.105933,5.0,5,True,Sporting Goods; Bikes; Shopping
usAsSV36QmUej8--yvN-dg,Food City,"845 W Southern Ave
Phoenix, AZ 85041",Phoenix,AZ,33.3922099,-112.0853773,3.5,5,True,Food; Grocery
PzOqRohWw7F7YEPBz6AubA,Hot Bagels & Deli,"6520 W Happy Valley Rd
Ste 101
Glendale Az, AZ 85310",Glendale Az,AZ,33.712797,-112.200264,3.5,14,True,Food; Bagels; Delis; Restaurants
gtQzAiy7D-dPU8WzT3jX3Q,Barney's New York Co-op,"The Americana at Brand
869 Americana Way
Glendale, CA 91210",Glendale,CA,33.6077660588006,-112.481632232666,4.5,6,True,Women's Clothing; Fashion; Shopping
FrBCYtCS_jydDjg1KsIgWQ,Zia Record Exchange,"1850 W Camelback Rd
Ste 1
Phoenix, AZ 85015",Phoenix,AZ,33.5096582,-112.0987501,3.5,21,True,"Music & DVDs; Books, Mags, Music & Video; Vinyl Records; Shopping"
yaXAD-Mv2K2PEZobmqjIYA,Reflections Bingo,"3415 W Northern Ave
Phoenix, AZ 85051",Phoenix,AZ,33.551903,-112.132866,5.0,4,True,Event Planning & Services; Venues & Event Spaces
o3ehs4ZEdsizbJyB9_j7uQ,Jam,"6938 E 1st St
Scottsdale, AZ 85251",Scottsdale,AZ,33.492195,-111.9312992,5.0,14,True,Art Schools; Specialty Schools; Shopping; Jewelry; Accessories; Fashion; Education
qarobAbxGSHI7ygf1f7a_Q,Jersey Mike's Subs,"891 E Baseline Rd
Suite 102
Gilbert, AZ 85233",Gilbert,AZ,33.3788385,-111.8120071,3.5,10,True,Sandwiches; Restaurants
C1xciP65n4t4R1Q4h1zOHw,Fender Musical Instruments Corporation,"8860 E Chaparral Rd
Ste 100
Scottsdale, AZ 85250",Scottsdale,AZ,33.5135194,-111.8887889,4.5,4,True,"Music & DVDs; Books, Mags, Music & Video; Musical Instruments & Teachers; Shopping"
gA5CuBxF-0CnOpGnryWJdQ,La Paloma Mexican Food,"519 W Thomas Rd
Phoenix, AZ 85013",Phoenix,AZ,33.480105,-112.0813612,4.0,5,True,Mexican; Restaurants
acaBJcFEKPmmSDIO6c-ZGQ,Basha's,"2075 N Pebble Creek Pkwy
Goodyear, AZ 85395",Goodyear,AZ,33.468815,-112.3920218,3.0,3,True,Food; Grocery
